rank,field,model,title,repo_no,description,prompt,image_url,author,published_at
32,电影海报设计,Nano Banana Pro,漫画 / 故事板 - 电影级暗黑奇幻战斗,78,一张极具戏剧性的中世纪奇幻电影剧照，捕捉了一位骑士在雨中森林面对冲锋而来的暗影生物的瞬间。,"{argument name=""character name"" default=""Aldric""} 站在 {argument name=""setting"" default=""雨中死寂森林""} 中，双手紧握长剑，双脚深陷泥泞，正面迎击一个正全速向他冲来的 {argument name=""enemy"" default=""巨大的暗影人形生物""}。怪物由阴影、泥土和腐烂的布料构成，双眼闪烁着红光，带着巨大的冲击力。Aldric 的长剑即将刺入怪物的腹部，利用其冲锋的惯性。电影级暗黑奇幻风格，戏剧性氛围，写实的中世纪盔甲，雾气，碰撞前的紧张感，低角度拍摄，超写实，电影剧照",inspiration-images/prompt-32.jpg,Cortex Visual ・ AI Movies,2026年6月11日
33,电影海报设计,Nano Banana Pro,漫画 / 故事板 - 电影感狂野西部枪手,70,一个关于旧西部枪手肖像的电影感提示词，专注于 19 世纪的真实质感和戏剧性的日落光影。,"（脸部将由上传的参考图像提供）：

一张令人惊叹的电影感肖像，主角为 {argument name=""character"" default=""粗犷的旧西部枪手""}，使用上传参考图像中完全一致的面部特征、身份、发型、肤色和面部结构，独自站在尘土飞扬的边境街道上，沐浴在日落的余晖中。他那件饱经风霜的深棕色皮质长风衣在沙漠的风中轻轻飘动，内搭细节精致的边境马甲、褪色的亚麻衬衫、古董枪带、雕花银扣，以及沾满路尘的旧牛仔靴。他的表情沉稳、自信且富有传奇色彩，散发着那种名字在边境小镇间被传颂的男人的气场。

他身后延伸着 1880 年代真实的西部定居点，街道两旁排列着木制酒馆、马厩、贸易站、拴马桩、油灯、马车和饱经风雨的店面。金色的阳光倾泻在街道上，在尘土飞扬的地面上投下戏剧性的长影，尘埃颗粒在空气中漂浮，被温暖的电影光线照亮。一匹壮丽的栗色马在附近等候，马鞍上装饰着复杂的皮革工艺和陈旧的黄铜细节。

整个场景仿佛史诗级西部杰作中的一帧画面，将经典边境电影的宏大感与奢华的编辑摄影风格相结合。每一个细节都以非凡的写实感呈现：真实的皮革质感、逼真的织物褶皱、风化的木纹、细腻的皮肤纹理、可见的毛孔、栩栩如生的眼睛、自然的脸部阴影以及完美平衡的电影级调色。氛围唤起自由、冒险、神秘和永恒的边境传奇感。

超写实摄影，中画幅相机，Hasselblad 品质，电影级西部杰作，Sergio Leone 风格构图，戏剧性日落光影，体积光，大气尘埃，浅景深，超精细纹理，真实的 19 世纪边境风格，粗犷的男性优雅，照片级皮肤渲染，获奖摄影作品，奢华时尚编辑风格与狂野西部电影的碰撞，史诗级环境叙事，大师级构图，HDR，全局光照，自然色彩调色板，8K 超精细，视觉震撼，传奇西部英雄美学。",inspiration-images/prompt-33.jpg,WeWant Mars,2026年6月14日
34,电影海报设计,Nano Banana Pro,漫画 / 故事板 - 饱经风霜的战士肖像,69,一个超写实的电影级提示词，描绘了一位在雨水和汗水中浸透的久经沙场的男性战士，强调极致的表面细节和氛围光影。,"一张超写实的电影级特写肖像，描绘了一位饱经风霜、赤裸上身的男性战士，在残酷的战斗后，因疲惫或坚定的决心而低垂着头。他留着浓密的深色乱发——湿透、结块，沉重地垂在低下的额头前。浓密的深色胡须覆盖着他的下颌和下巴。他的脸向下倾斜约 45 度，主要展示了头顶和侧面、强壮粗壮的脖子，以及占据画面下方的宽阔裸肩。他的皮肤被雨水和汗水浸透，闪烁着强烈的光泽。他的脸部和颈部有明显的战斗痕迹——额头、眉骨、脸颊和肩膀上有许多细小的割伤、撕裂伤和血迹，皮肤因撞击而红肿淤青。雨水在他周围清晰可见——雨丝在背景映衬下显得锐利，落在他的皮肤和头发上，溅起细小的水雾。背景是模糊的冷灰绿色雾气环境——暗示着户外竞技场、雨中战场或开阔的战斗场景——漫射的白色光源在他身后营造出朦胧的氛围光。光影效果极具戏剧性和电影感——冷蓝灰色的环境光包裹着整个场景，而微妙的暖色调则捕捉到了眉骨、鼻梁、颧骨和肩膀上的皮肤高光。色调：深炭黑、冷灰绿、柔和橄榄色、温暖的血红色点缀、湿润的皮肤高光。艺术风格：超写实黑暗电影概念艺术或电子游戏过场动画画质——《最后生还者》（The Last of Us）/《战神》（God of War）美学，皮肤、头发和水流的极致表面细节，体积感雨水氛围，8K 分辨率。
请使用提供的面部参考图——保留参考对象精确的面部骨骼结构、鼻型、下颌线、胡须纹理、肤色以及整体面部特征。在保持核心面部特征完全可辨认的前提下，叠加战斗损伤、雨水和疲惫的处理效果。",inspiration-images/prompt-34.jpg,Ahmad Faraz,2026年6月14日
35,电影海报设计,GPT Image 2,产品营销 - FIFA 世界杯极简海报,105,一款高端体育品牌推广提示词，用于创作极简风格的世界杯海报，包含单色肖像、碎片化编辑效果及高级排版。,"创作一张高级的 FIFA 世界杯海报设计，主角为 {argument name=""player type"" default=""传奇足球巨星""}。极简白色背景，画面主体为巨大的单色特写肖像。肖像被分割成若干水平切片，切片间留有细长的白色缝隙，营造出摩登的碎片化编辑效果。左侧采用大型垂直粗体排版，以 {argument name=""color scheme"" default=""国家队配色""} 拼写出球员姓名。前景叠加球员全身动作姿态，身穿国家队球衣，自信庆祝。右上角放置国旗和足协徽章。肖像附近配有优雅的亲笔签名。底部有柔和的雾气/烟雾淡出效果。奢华体育杂志美学，{argument name=""branding style"" default=""Nike 风格""} 广告宣传，高对比度黑白肖像，面部细节清晰，构图简洁，高级排版，海报设计，体育品牌推广，编辑排版，电影级布光，超写实，8k，专业平面设计，留白，现代 FIFA 世界杯宣传艺术作品。

风格关键词：
体育海报，编辑设计，现代排版，单色肖像，动态运动员姿态，白色极简背景，高级品牌推广，高端广告，世界杯宣传活动，超细节，照片级真实，平面设计杰作",inspiration-images/prompt-35.jpg,K,2026年6月14日
36,电商海报设计,Nano Banana Pro,电商主图 - 奢华镜面自拍人像,92,一款适用于奢华衣帽间镜面自拍的手机摄影风格提示词，具备精准的人脸锁定功能与现代美学。,"完全使用上传的参考人脸，零修改）人脸锁定 — 零修改策略。人脸必须保持 100% 一致。长宽比 • 3:4。风格：超现代手机摄影。场景：奢华步入式衣帽间的镜面自拍。服装：{argument name=""dress"" default=""缎面翡翠绿吊带裙""}。道具：手持 {argument name=""phone"" default=""钛金属 iPhone 17 Pro Max""}，可见三镜头细节。姿势：站在镜子前，微微一笑，单手叉腰。光照：自然光，背景：设计师包袋和柔光货架。相机：手机摄影风格，焦点清晰。图像质量：8K，真实皮肤质感。",inspiration-images/prompt-36.jpg,Salina,2026年6月12日
37,电商海报设计,Nano Banana Pro,电商主图 - 微距奢华饼干牛奶飞溅,93,一个商业食品摄影提示词，用于生成带有动态牛奶飞溅效果的高细节饼干图像。,"超写实 {argument name=""product name"" default=""[BISCUIT NAME]""} 饼干在半空中动态堆叠，微微破碎以展现丰富质地，奶油夹心 / 黄油层清晰可见，戏剧性的牛奶飞溅在饼干周围形成艺术曲线，细小的饼干碎屑悬浮在空中，光泽的牛奶液滴定格在运动瞬间，{argument name=""background"" default=""深色摄影棚渐变背景""}，电影级专业灯光，微距食品摄影，超清晰对焦，高对比度，高端奢华商业广告风格，戏剧性飞溅效果，超精细纹理，照片级真实感，8K 超高分辨率
宽高比 {argument name=""aspect ratio"" default=""3:4""}",inspiration-images/prompt-37.jpg,Aaqib | Ai,2026年6月10日
38,电商海报设计,Nano Banana Pro,电商主图 - 写实亚洲女性家居服肖像,94,一份详细的提示词，用于生成一位身着特定家居服的亚洲女性在乡村清晨背景下的特写肖像。,"创作一张高度写实的特写肖像，主角是一位拥有明亮瓷白肌肤和完美对称五官的年轻亚洲女性。她站在户外的居家环境中，例如前廊、庭院或花园区域。她的身体微微侧向，头部转向镜头，表情平静、柔和且温婉。服装：穿着一套配套的 {argument name=""clothing style"" default=""睡衣/家居服套装""}。奶油色短款上衣，带有 {argument name=""pattern"" default=""樱桃图案""}。短袖边缘饰有精致的白色蕾丝波浪花边。V 领设计，胸前饰有一枚优雅的小红丝带。深红色高腰短裤，配有松紧腰带。腰带中央饰有小红丝带。短裤下摆带有白色蕾丝波浪花边细节。配饰：优雅的金色项链，带有显示名字“{argument name=""name"" default=""Fitri""}”的小吊坠。精致的小耳钉。妆容：自然妆感。肌肤自然透亮，可见真实的皮肤纹理和细微毛孔。浓密且修剪整齐的自然眉毛。浓密、卷翘的戏剧感睫毛。粉嫩的嘴唇，看起来水润、饱满且富有光泽。发型：乌黑长发。发质极其顺滑、丝滑且充满健康光泽。扎成单马尾。马尾下部呈现卷曲波浪状。顶部发丝略显蓬松凌乱。几缕发丝自然地垂落在额头和脸颊两侧。背景：身后可见黑色铁艺围栏。围栏外是道路和绿色的稻田。远处可见山脉。明亮清澈的蓝天。身旁有一棵树，仅在画面中部分可见。光线：清晨的自然阳光。面部光线柔和明亮。色彩清新明快，色调明亮，包含丰富的绿色和生动的蓝色。摄影风格：半身肖像。特写构图。超写实摄影。高细节和栩栩如生的皮肤纹理。自然的景深。生动、真实的背景。专业肖像摄影。焦点清晰地对准面部。9:16 竖屏比例。照片级真实感、超细节、高分辨率、写实光影、真实阴影、真实色彩。重要提示：请勿改变女性的面部特征或面部结构。在应用所描述的发型、服装、妆容、姿势、光线和环境时，请务必保持其原始面容不变。",inspiration-images/prompt-38.jpg,Kashberg,2026年6月8日
39,电商海报设计,Nano Banana Pro,电商主图 - 鼠尾草绿单色时尚图册,95,一场专业的时尚摄影棚拍摄，展示了鼠尾草绿色的现代单色穿搭，呈现极简主义美学。,"一场专业的时尚摄影棚拍摄，主角为一位 {argument name=""subject"" default=""年轻东亚女性""}，留着利落的下巴长度波波头，展示现代 {argument name=""style"" default=""鼠尾草绿单色穿搭""}。她身穿剪裁合身的鼠尾草绿衬衫式马甲，搭配同色系高腰阔腿裤，肩上优雅地披着一件质感十足的鼠尾草绿超大款羊毛风衣。配饰包括叠戴的金色链条项链（带钥匙吊坠）、精致的金手镯，以及米色厚底绑带渔夫凉鞋。场景以极简、柔和的薄荷绿为背景，营造出干净、高级且现代的审美风格。提示词应生成一系列全身和四分之三身的多角度镜头：自信站立且单手插兜、坐在简单的木质板条箱上姿态放松、以及调整风衣翻领时微笑的动态半身照。光线柔和均匀，凸显了利落的剪裁、织物的质感以及优雅从容的神态。",inspiration-images/prompt-39.jpg,Minahil,2026年6月6日
40,电商海报设计,Nano Banana Pro,电商主图 - 巴基斯坦长裙时尚,96,优雅的影棚时尚摄影，展现精致的传统巴基斯坦刺绣与电影级布光。,"一张高质量的专业时尚摄影作品，模特身着优雅的 {argument name=""dress style"" default=""及地天蓝色巴基斯坦长裙""}。裙身侧边和下摆饰有 {argument name=""details"" default=""精致的银色花卉刺绣、亮片和珠饰""}。领口采用独特的镂空设计，并点缀着银色装饰。面料选用轻盈飘逸的薄纱或雪纺。模特梳着优雅的盘发，搭配小型花卉发饰、垂坠耳环和配套手镯。背景为 {argument name=""background"" default=""柔和模糊的影棚场景，点缀着浅蓝色和白色的花朵""}。电影级布光，奢华氛围，8k 分辨率，高度细腻的织物纹理。",inspiration-images/prompt-40.jpg,ayzalnoor,2026年6月6日
41,电商海报设计,Nano Banana Pro,电商主图 - 高端 UGC 时尚广告大片,97,一个用于生成高端时尚广告大片图像的精细提示词，展示了现代极简主义背景下的模特，并重点刻画了服装质感与电影级光影效果。,"一个高端 UGC 时尚广告大片，主角为 {argument name=""subject"" default=""一位留着一头柔顺黑长直发的年轻东亚女性""}，正在展示一款产品。她身穿 {argument name=""outfit"" default=""一件深栗色针织高领短袖上衣，肩部带有优雅的褶皱设计，侧面有抽褶细节，搭配白色抽绳工装短裤""}。
采用多角度电影感序列风格，同时展示全身生活照和近距离面料质感。场景设定为 {argument name=""environment"" default=""一个极简主义风格的现代公寓，配有奶油色弧形沙发、一面大型金边落地镜以及明亮的窗户""}。柔和、漫射的清晨自然光照亮场景，投射出柔和的阴影。
照片级真实感，高端商业品质，使用 85mm 镜头拍摄，f/1.8 光圈，焦点清晰地聚焦于酒红色面料的细腻纹理，干净的调色，8K 分辨率。",inspiration-images/prompt-41.jpg,Calira,2026年6月4日
42,电商海报设计,Nano Banana Pro,电商主图 - 极简风服装店时尚人像,98,一张极简主义服装店内的全身时尚编辑人像，具备清晰的对焦和电影级灯光效果。,"一张全身时尚人像，画面中一位 {argument name=""subject"" default=""时尚年轻女性""} 自信地站在 {argument name=""location"" default=""现代极简主义服装店""} 内。她留着柔顺的深色长卷发，配有轻薄刘海，皮肤白皙，五官精致。她身穿一件修身的 {argument name=""outfit top"" default=""浅灰色短款拉链连帽衫""}，搭配带有大侧袋的深蓝色阔腿工装裤和厚底白色运动鞋。她双臂交叉，展现出冷静且自信的态度。背景是温暖的木质室内装潢、陈列着中性色调服装的衣架、柔和的环境光以及抛光地板。电影级灯光，超写实，清晰对焦，高细节，时尚编辑摄影风格，4K，景深效果。",inspiration-images/prompt-42.jpg,liana,2026年6月4日
43,电商海报设计,Nano Banana Pro,电商主图 - 都市街头时尚拼贴海报,106,一个为 Z 世代街头时尚海报设计的创意提示词，采用拼贴风格，包含重复的人物模特、超大廓形服装以及带有醒目排版的层叠式编辑布局。,"现代都市 {argument name=""fashion style"" default=""时尚拼贴海报""}，{argument name=""target audience"" default=""Z 世代街头时尚活动""}，与上传图片相同的人脸，一位女性模特以多种时尚姿势重复出现，超大廓形休闲装，高级电商摄影，垂直编辑布局，顶部带有巨大的粗体压缩字体，贴纸剪裁边缘，层叠式拼贴层级，动态笔触图形，非对称构图，{argument name=""brand inspiration"" default=""Gucci 风格""} 品牌感，手写笔触文字装饰，潮流感",inspiration-images/prompt-43.jpg,liana,2026年5月21日
44,电商海报设计,GPT Image 2,电商主图 - 韩系时尚 Lookbook 网格提示词,106,生成一个 2x3 的网格编辑风格 Lookbook，确保六种不同穿搭和姿势下的角色身份高度一致。,"创建一个高端韩系时尚 Lookbook，在全部六个画面中呈现相同的 {argument name=""subject"" default=""日本女性""}，并确保整张图像中人物身份的高度一致性。她的面部特征、年龄、族裔、发型、身体比例和整体气质在每个面板中都应保持不变，确保一眼就能看出是同一个人穿着不同的服装。

构图采用简洁优雅的 2×3 网格，包含六个等大的全身面板。保持模特比例一致、面板间距清晰，并呈现平衡的编辑对称感。在顶部中心位置，加入精致的奢华衬线字体，内容为：'{argument name=""title"" default=""LOOKBOOK — The Edit • Vol. 01""}'。

每个面板应展示不同的穿搭和自然的时尚姿势：

1. 米色廓形西装外套、白色上衣、阔腿裤和高跟鞋。
2. 短款皮夹克、修身上衣、工装裤和奢华运动鞋。
3. 黑色修身晚礼服，搭配精致配饰。
4. 白色廓形衬衫搭配牛仔短裤。
5. 米色针织毛衣搭配百褶中长裙。
6. 同色系剪裁夹克与半身裙套装。

为每个造型设计独特的站姿和细微的表情变化，同时保持模特身份和奢华大片质感。肢体语言应展现出自信、干练的气质，适合高端百货公司的时尚目录。

使用无缝的暖象牙米色无影棚背景，不含任何道具或家具。光线应柔和、漫射，灵感源自《Vogue Korea》大片，营造出真实的阴影、自然的皮肤纹理、可见的毛孔以及细腻的织物细节。最终图像应呈现出超高端商业时尚摄影的质感，具备 HDR 品质、照片级细节和 8K 级清晰度。

优先保证：严格的身份一致性、每个面板的全身可见度、清晰的面板分割、一致的比例以及精致的奢华呈现。

避免：身份改变、面部不一致、换脸、人物被裁剪、主体重叠、多余肢体、解剖结构错误、杂乱背景、道具、家具、Logo、水印、动漫风格、CGI、插画、过度磨皮的塑料感皮肤、模糊或低分辨率输出。",inspiration-images/prompt-44.jpg,MatteoCruz,2026年6月14日
45,电商海报设计,GPT Image 2,电商主图 - 现代街头风与奢华 T 恤设计,117,一系列用于设计高端、极简及复古风格图形 T 恤的专业提示词。,创作一张高端时尚产品照片，展示一件现代超大廓形街头风 T 恤。T 恤正面印有专业设计的大型图形。设计风格：当代都市街头风，大胆的排版与未来感几何元素相结合，简洁的矢量艺术，细腻的做旧纹理，高级丝网印刷质感，构图平衡，视觉冲击力强且易于穿搭。配色方案：黑色、白色、银色，点缀电光蓝。设计应呈现出奢华街头服饰系列的质感。照片级织物纹理，逼真的褶皱，优质纯棉材质，摄影棚灯光，时尚大片质感，超高细节，清晰对焦，适合电商展示，引领潮流的服装设计。设计一件现代奢华时尚 T 恤，配以优雅的极简图形。正面艺术设计结合了精致的排版、抽象线条艺术和微妙的几何图案。留白简洁，具备高级品牌美感，灵感源自当代设计师品牌。高品质刺绣与印花细节，布局平衡，单色调配以金色点缀。照片级 T 恤样机，优质重磅棉，逼真的织物纹理，摄影棚产品摄影，奢华时尚大片质感，细节丰富且具备商业价值。创作一件时尚的现代 T 恤，采用大胆的复古风格图形设计。复古插画与当代排版相结合，做旧印花效果，层次丰富的纹理，引人注目的构图，可穿戴的街头美学。色彩浓郁，艺术深度感强，呈现高级丝网印刷外观，逼真的服装褶皱，专业服装样机，时尚目录品质，细节丰富，潮流感强，适合在线服装品牌。创作一件超高端现代 T 恤，正面印有大面积图形，呈现出畅销时尚品牌的设计感。结合大胆的排版、艺术插画、多层图形元素，高级街头美学，构图平衡，符合 Z 世代审美，逼真的丝网印刷纹理，奢华服装品牌质感。照片级样机，超大廓形重磅棉 T 恤，摄影棚灯光，时尚编辑部质感，细节丰富，可直接投入生产的专业服装设计。,inspiration-images/prompt-45.jpg,Jack,2026年6月10日
46,创意视觉,Nano Banana Pro,YouTube 缩略图 - 雄伟象群云朵摄影,47,一个超现实的提示词，用于创作在稀树草原上空由体积云形成的细节逼真的大象摄影作品。,"超写实摄影，巨大的体积云形成了雄伟的 {argument name=""animal"" default=""大象""} 形状，云层结构细节丰富且解剖学准确，拥有巨大的象牙和高扬的象鼻，柔软而致密的积云具有逼真的深度和质感，戏剧性的黄金时刻光影，阳光穿透云层，微妙的阴影和高光增强了形态感。
前景：广阔的 {argument name=""landscape"" default=""非洲稀树草原草甸""}，带有逼真的干草、大气透视和电影级的景深。多只 {argument name=""wildlife"" default=""斑马""} 在田野中自然地吃草。空中：一群鸟在巨大的大象云周围盘旋，增加了比例感和动感。
环境：电影级天空，带有温暖的橙色和蓝色渐变色调，轻微的雾气，自然色彩分级，超写实光照，全局光照，体积雾，物理精确的阴影。
风格：DSLR 摄影，85mm 镜头，f/2.8 光圈，浅景深，HDR，8K 分辨率，锐利对焦，错综复杂的细节，照片级真实感，无 CGI 感。
氛围：雄伟、平静、超现实但可信，野生动物纪录片的真实感。",inspiration-images/prompt-46.jpg,ÀBDŪLLÂH,2026年5月22日
47,创意视觉,Nano Banana Pro,YouTube 缩略图 - 奇幻书籍可视化网格,55,一种富有创意的加权提示词公式，用于生成 2x2 的书籍内部奇幻立体模型网格。,"2x2 网格，针对 4 本名著执行此操作 render_target = ( {argument name=""main object"" default=""giant_sliced_open_hardcover_fantasy_book""} * 2.0 ) + ( {argument name=""inner scene"" default=""inferred_magical_library_diorama_inside""} * 1.8 ) + ( miniature_main_characters_fighting_bad_guys * 1.5 ) + ( floating_old_english_map_overlay_top_right * 2.0 ) + ( tiny_ink_bottles_and_quills_exterior * 1.0 ) + ( {argument name=""background"" default=""clean_parchment_paper_studio_background""} * 1.2 ) - ( e_reader / 2.0 ) - ( modern_clothing / 2.0 ) - ( messy_desk )",inspiration-images/prompt-47.jpg,Gadgetify,2026年4月30日
48,创意视觉,Nano Banana Pro,漫画 / 故事板 - 照片转蜡笔画,84,将普通照片转换为可爱、充满童趣的蜡笔画，同时保留原始构图。,"将 {argument name=""subject"" default=""上传的照片""} 转换为 {argument name=""style"" default=""可爱童趣的蜡笔画""}，同时保留原始姿势、构图、服装、表情和背景。使用 {argument name=""texture"" default=""色彩丰富的蜡笔和彩色铅笔质感""}，呈现凌乱的涂鸦、颤抖的轮廓以及纹理纸张上不均匀的着色效果。将人物面部简化为拥有大眼睛和红润脸颊的可爱卡通形象。以俏皮的手绘风格保留山脉、湖泊、树木、云朵和天空。在右下角添加一张带有白色边框和细微阴影的圆角参考图，显示原始图像。色彩鲜艳，充满魅力，趣味十足，手工感强，高细节的蜡笔艺术作品。",inspiration-images/prompt-48.jpg,Furkan,2026年6月8日
49,创意视觉,GPT Image 2,电商主图 - 手工珐琅磁吸纪念品,113,将提示词翻译为日文，以便使用 Image 2.0 创作具有 3D 深度和金色边缘的逼真珐琅纪念磁贴。,"根据参考照片创作一款 3D 手工珐琅纪念磁贴。特点包括凹陷的珐琅表面、纤细的金色边缘、柔和的摄影棚光影、以 {argument name=""landmark"" default=""泰姬陵""} 为原型的有机轮廓，以及奢华的 {argument name=""color scheme"" default=""深绿色与金色""} 配色。",inspiration-images/prompt-49.jpg,すん / 2つのアイ（AI・EYE）の専門家 / Codexであなたの仕事は自動化できる!,2026年6月11日
50,创意视觉,GPT Image 2,电商主图 - 奢华香氛蜡烛产品摄影,118,为蜡烛和家居香氛生成温暖且富有氛围感的产品图像，重点呈现融化的蜡烛质感以及舒适、高端的生活方式氛围。,"制作温暖且富有氛围感的 {argument name=""product"" default=""蜡烛和家居香氛""} 产品图像，传达奢华、舒适与宁静的质感。此提示词旨在捕捉摇曳的烛光、融化的蜡烛质感、{argument name=""material"" default=""琥珀色玻璃""} 的温润感，以及所有能促使买家点击“购买”的感官视觉线索。非常适合蜡烛品牌、Etsy 蜡烛卖家、家居香氛初创公司以及希望通过图像唤起产品全方位感官体验的生活方式品牌。",inspiration-images/prompt-50.jpg,Kami AI,2026年6月9日
